"Entry","Date","Sub Name","Subsidiary","acctnumber","internal id","location","account name","Debit","Credit","Comment","Payment Type"
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","10006","654","24","Guest Ledger","","4337.79","",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","10070","696","24","Cash in Bank : Cash in Ckg-BARDS INC-WFB-7278","13616.46","","VISA/MASTER","VISA/MASTER"
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","10070","696","24","Cash in Bank : Cash in Ckg-BARDS INC-WFB-7278","2486.57","","AMEX","AMEX"
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","10502","2051","24","AR - City Ledger","393.02","","",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","20103","662","24","Tax Payable: Tourist Tax Payable","","147.20","STATE LODGING TAX",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","20103","662","24","Tax Payable: Tourist Tax Payable","","1.20","STATE LODGING TAX",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","20103","662","24","Tax Payable: Tourist Tax Payable","","980.63","CITY LODGING TAX",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","24000","263","24","Deferred Revenue","","1000.00","",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","40110","634","24","Revenue - Direct Booking","157.92","","RATE DISCOUNT REV",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","40110","634","24","Revenue - Direct Booking","","10107.15","ROOM CHRG REVENUE",""
"WR2420250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Oregon, Inc.","26","40120","635","24","Revenues : Other Revenue","","80.00","ONE PET FEE",""
